country_name,iso3c,population
Afghanistan,AFG,42239854
Africa Eastern and Southern,AFE,739108306
Africa Western and Central,AFW,502789511
Albania,ALB,2745972
Algeria,DZA,45606480
American Samoa,ASM,43914
Andorra,AND,80088
Angola,AGO,36684202
Antigua and Barbuda,ATG,94298
Arab World,ARB,473272080
Argentina,ARG,46654581
Armenia,ARM,2777970
Aruba,ABW,106277
Australia,AUS,26638544
Austria,AUT,9132383
Azerbaijan,AZE,10112555
"Bahamas, The",BHS,412623
Bahrain,BHR,1485509
Bangladesh,BGD,172954319
Barbados,BRB,281995
Belarus,BLR,9178298
Belgium,BEL,11822592
Belize,BLZ,410825
Benin,BEN,13712828
Bermuda,BMU,63489
Bhutan,BTN,787424
Bolivia,BOL,12388571
Bosnia and Herzegovina,BIH,3210847
Botswana,BWA,2675352
Brazil,BRA,216422446
British Virgin Islands,VGB,31538
Brunei Darussalam,BRN,452524
Bulgaria,BGR,6430370
Burkina Faso,BFA,23251485
Burundi,BDI,13238559
Cabo Verde,CPV,598682
Cambodia,KHM,16944826
Cameroon,CMR,28647293
Canada,CAN,40097761
Caribbean small states,CSS,3167738
Cayman Islands,CYM,69310
Central African Republic,CAF,5742315
Central Europe and the Baltics,CEB,100156608
Chad,TCD,18278568
Channel Islands,CHI,175346
Chile,CHL,19629590
China,CHN,1410710000
Colombia,COL,52085168
Comoros,COM,852075
"Congo, Dem. Rep.",COD,102262808
"Congo, Rep.",COG,6106869
Costa Rica,CRI,5212173
Cote d'Ivoire,CIV,28873034
Croatia,HRV,3853200
Cuba,CUB,11194449
Curacao,CUW,147862
Cyprus,CYP,1260138
Denmark,DNK,5946952
Djibouti,DJI,1136455
Dominica,DMA,73040
Dominican Republic,DOM,11332972
Early-demographic dividend,EAR,3486290439
East Asia & Pacific,EAS,2380601170
East Asia & Pacific (IDA & IBRD countries),TEA,2107522258
East Asia & Pacific (excluding high income),EAP,2133652241
Ecuador,ECU,18190484
"Egypt, Arab Rep.",EGY,112716598
El Salvador,SLV,6364943
Equatorial Guinea,GNQ,1714671
Eritrea,ERI,3748901
Estonia,EST,1366188
Eswatini,SWZ,1210822
Ethiopia,ETH,126527060
Euro area,EMU,350357398
Europe & Central Asia,ECS,923929755
Europe & Central Asia (IDA & IBRD countries),TEC,457326090
Europe & Central Asia (excluding high income),ECA,247474425
European Union,EUU,449476878
Faroe Islands,FRO,53270
Fiji,FJI,936375
Finland,FIN,5584264
Fragile and conflict affected situations,FCS,1042703808
France,FRA,68170228
French Polynesia,PYF,308872
Gabon,GAB,2436566
"Gambia, The",GMB,2773168
Georgia,GEO,3760365
Germany,DEU,84482267
Ghana,GHA,34121985
Gibraltar,GIB,32688
Greece,GRC,10361295
Greenland,GRL,56865
Grenada,GRD,126183
Guam,GUM,172952
Guatemala,GTM,17602431
Guinea,GIN,14190612
Guinea-Bissau,GNB,2150842
Guyana,GUY,813834
Haiti,HTI,11724763
Heavily indebted poor countries (HIPC),HPC,907995430
Honduras,HND,10593798
"Hong Kong SAR, China",HKG,7536100
Hungary,HUN,9589872
